381914.702,6353878.437
382027.381,6353968.581
382164.743,6353937.996
382196.937,6354011.506
382235.570,6354019.555
382268.837,6353990.043
382274.740,6353966.971
382264.545,6353900.436
382318.270,6353889.075
382362.984,6353883.352
382385.878,6353906.603
382416.283,6353923.058
382431.307,6353926.277
382445.616,6353935.935
382458.494,6353932.001
382459.209,6353919.838
382453.128,6353913.757
382423.080,6353908.392
382409.487,6353904.457
382388.572,6353886.424
382412.897,6353894.651
382483.755,6353904.855
382504.829,6353923.984
382494.724,6353993.827
382494.390,6354025.869
382476.290,6354026.616
382476.290,6354045.575
382483.086,6354072.761
382509.915,6354101.735
382528.874,6354132.499
382529.947,6354150.742
382510.630,6354180.432
382478.776,6354213.463
382419.038,6354190.569
382400.037,6354155.571
382297.254,6354096.668
382315.766,6354070.823
382389.813,6354118.578
382426.836,6354156.674
382454.201,6354187.795
382482.103,6354159.357
382434.885,6354083.701
382423.617,6354035.946
382361.375,6353985.509
382307.718,6354051.507
382312.964,6354068.796
382294.601,6354094.551
382267.415,6354081.674
382235.391,6354092.021
382230.055,6354078.975
382115.945,6354029.253
382074.667,6353989.277
382055.074,6353986.864
382034.871,6354006.612
382026.766,6354011.904
382021.427,6354008.374
381952.734,6354005.527
381887.476,6354021.847
381831.027,6353978.398
381819.509,6353966.585
381828.200,6353958.826
381843.497,6353973.569
381877.917,6353972.337
381874.817,6353939.904
381855.760,6353901.076
381869.093,6353895.071
381914.702,6353878.437

381058.139,6353941.741
381088.187,6353997.902
381121.812,6354046.193
381173.681,6354097.346
381283.051,6354185.880
381358.708,6354232.562
381406.462,6354253.488
381460.119,6354265.292
381516.459,6354270.658
381606.603,6354256.439
381752.550,6354237.122
381803.524,6354238.195
381910.301,6354256.439
382087.905,6354281.658
382169.464,6354303.120
382222.584,6354327.266
382276.778,6354372.807
382322.655,6354443.635
382361.644,6354507.114
382336.605,6354595.111
382260.473,6354513.653
382285.277,6354492.392
382237.382,6354435.451
382213.196,6354421.070
382145.857,6354386.998
381775.453,6354275.406
381651.183,6354275.684
381605.531,6354302.757
381572.177,6354323.454
381554.764,6354348.647
381533.570,6354373.687
380971.781,6354358.998
380930.130,6354277.507
380863.126,6354273.885
380747.227,6354271.168
380745.416,6353566.720
380801.555,6353590.262
380915.643,6353698.917
380992.104,6353810.792
381036.371,6353904.155
381058.139,6353941.741

381083.757,6353715.920
381043.514,6353729.602
380983.955,6353712.700
380941.298,6353678.896
380849.544,6353597.606
380749.742,6353543.681
380750.748,6353438.044
382862.484,6353475.268
382836.729,6353506.658
382812.583,6353531.608
382810.169,6353557.363
382817.413,6353570.241
382730.488,6353665.214
382649.198,6353713.505
382600.102,6353771.455
382564.688,6353813.307
382533.869,6353833.328
382505.968,6353845.669
382365.386,6353861.766
382232.615,6353883.169
382177.289,6353882.692
382044.215,6353857.121
381953.212,6353789.031
381765.770,6353647.019
381695.599,6353603.646
381616.425,6353591.246
381419.504,6353574.731
381339.018,6353558.634
381297.524,6353562.211
381247.444,6353587.609
381083.757,6353715.920
