x, y, ID, stage (Draft Report), stage (ARR Report Final), TUFLOW (ARR Report Final)
382373.514531996,6354387.83707967,4,23,23.01,22.77
382354.610297575,6354365.2083384,3,23.1,23.14,23.11
382424.399931653,6354478.33349185,0,20,19.98,20.08
382509.713526756,6354548.22081606,1,18.4,18.38,18.36
382339.416016335,6354297.83665165,2,23.5,23.36,23.56
