0	0.024
300	0.022
600	0.178
900	0.109
1200	0.425
1500	0.289
1800	0.226
2100	0.735
2400	0.536
2700	0.509
3000	4.164
3300	5.918
3600	5.299
3900	4.122
4200	3.387
4500	2.644
4800	2.097
5100	1.691
5400	1.385
5700	1.149
6000	0.964
6300	0.816
6600	0.696
6900	0.598
7200	0.516
7500	0.449
7800	0.392
8100	0.344
8400	0.303
8700	0.267
9000	0.237
9300	0.211
9600	0.189
9900	0.169
10200	0.152
10500	0.137
10800	0.124
11100	0.112
11400	0.102
11700	0.092
12000	0.084
12300	0.607
12600	2.423
12900	4.718
13200	3.766
13500	5.129
13800	8.487
14100	10.027
14400	7.892
14700	5.972
15000	8.917
15300	7.099
15600	8.258
15900	6.482
16200	8.886
16500	9.277
16800	8.715
17100	9.445
17400	13.743
17700	18.089
18000	22.146
18300	20.882
18600	15.582
18900	12.269
19200	13.6
19500	13.26
19800	14.736
20100	16.444
20400	14.815
20700	14.961
21000	14.831
21300	16.337
21600	12.605
21900	13.074
22200	12.36
22500	10.571
22800	8.48
23100	6.423
23400	6.461
23700	7.607
24000	6.022
24300	4.66
24600	6.223
24900	6.622
25200	7.27
25500	8.151
25800	6.401
26100	7.939
26400	8.714
26700	7.671
27000	10.12
27300	10.894
27600	10.496
27900	8.788
28200	6.759
28500	5.129
28800	4.517
29100	3.547
29400	2.811
29700	4.877
30000	7.368
30300	9.232
30600	8.919
30900	7.236
31200	5.595
31500	4.843
31800	3.858
32100	3.025
32400	2.832
32700	2.467
33000	2.401
33300	1.927
33600	1.756
33900	1.832
34200	1.473
34500	1.394
34800	1.132
35100	0.934
35400	0.782
35700	0.662
36000	1.051
36300	0.834
36600	0.689
36900	1.269
37200	1.493
37500	2.436
37800	2.331
38100	1.845
38400	2.211
38700	2.058
39000	1.639
39300	1.323
39600	1.084
39900	0.901
40200	0.758
40500	0.726
40800	0.605
41100	0.513
41400	0.44
41700	0.381
42000	0.332
42300	0.291
42600	0.43
42900	0.42
43200	0.335
43500	0.28
43800	0.603
44100	0.632
44400	0.489
44700	0.4
45000	0.336
45300	0.654
45600	0.5
45900	1.384
46200	1.866
46500	1.542
46800	2.162
47100	1.786
47400	1.418
47700	1.144
48000	0.938
