0	0				
300	0.68				
600	2.786				
900	3.619				
1200	5.09				
1500	5.369				
1800	4.087				
2100	4.89				
2400	3.876				
2700	3.512				
3000	2.924				
3300	2.484				
3600	2.812				
3900	2.287				
4200	2.213				
4500	2.418				
4800	2.33				
5100	1.899				
5400	1.615				
5700	1.397				
6000	1.219				
6300	1.068				
6600	0.94				
6900	1.375				
7200	1.434				
7500	1.686				
7800	2.067				
8100	1.962				
8400	1.571				
8700	1.513				
9000	1.64				
9300	1.337				
9600	1.223				
9900	1.046				
10200	1.464				
10500	1.322				
10800	1.633				
11100	2.032				
11400	2.729				
11700	3.06				
12000	3.07				
12300	2.838				
12600	2.508				
12900	2.099				
13200	1.805				
13500	1.568				
13800	1.37				
14100	1.278				
14400	1.098				
14700	0.96				
15000	1.014				
15300	0.847				
15600	0.735				
15900	0.648				
16200	0.575				
16500	0.513				
16800	0.458				
17100	0.411				
17400	0.369				
17700	0.333				
18000	0.462				
18300	0.361				
18600	0.383				
18900	0.312				
19200	0.272				
19500	0.243				
19800	0.22				
20100	0.2				
20400	0.182				
20700	0.166				
21000	0.152				
21300	0.139				
21600	0.128				
21900	0.118				
22200	0.18				
22500	0.134				
22800	0.114				
23100	0.102				
23400	0.093				
23700	0.085				
24000	0.079				
24300	0.073				
24600	0.067				
24900	0.063				
25200	0.21				
25500	0.13				
25800	0.101				
26100	0.088				
26400	0.08				
26700	0.073				
27000	0.068				
27300	0.063				
27600	0.13				
27900	0.088				
28200	0.072				
28500	0.063				
28800	0.058				
29100	0.054				
29400	0.05				
29700	0.047				
30000	0.044				
30300	0.041				
30600	0.038				
30900	0.036				
31200	0.034				
31500	0.032				
31800	0.03				
32100	0.028				
32400	0.026				
32700	0.025				
33000	0.023				
33300	0.022				
33600	0.021				
33900	0.02				
34200	0.019				
34500	0.018				
34800	0.017				
35100	0.016				
35400	0.162				
35700	0.083				
36000	0.057				
36300	0.047				
36600	0.043				
36900	0.04				
37200	0.037				
37500	0.035				
37800	0.033				
38100	0.031				
38400	0.029				
38700	0.028				
39000	0.592				
39300	1.761				
39600	1.183				
39900	2.038				
40200	1.568				
40500	1.282				
40800	1.11				
41100	0.982				
41400	0.875				
41700	0.783				
42000	0.701				
42300	0.629				
42600	0.565				
42900	0.508				
43200	0.458				
43500	0.413				
43800	0.373				
44100	0.338				
44400	0.306				
44700	0.278				
45000	0.253				
45300	0.23				
45600	0.21				
45900	0.192				
46200	0.175				
46500	0.161				
46800	0.148				
47100	0.136				
47400	0.125				
47700	0.115				
48000	0.43				
